customerID,gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6572-ADKRS,0,0,0,0,46,1,0,2,0,0,1,0,0,0,0,1,1,74.8,3548.3,0
5380-WJKOV,1,0,0,0,34,1,1,2,0,1,1,0,1,1,0,1,2,106.35,3549.25,1
8168-UQWWF,0,0,0,0,11,1,1,2,0,0,1,0,1,1,0,1,0,97.85,1105.4,1
8865-TNMNX,1,0,1,1,10,1,0,1,0,1,0,0,0,0,1,0,3,49.55,475.7,0
9489-DEDVP,0,0,1,1,70,1,1,1,1,1,0,0,1,0,2,1,1,69.2,4872.35,0
9867-JCZSP,0,0,1,1,17,1,0,0,2,2,2,2,2,2,1,0,3,20.75,418.25,0
4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,1,1,0,2,1,1,79.85,4861.45,0
4080-IIARD,0,0,1,0,13,1,1,1,1,1,0,1,1,0,0,1,2,76.2,981.45,0
3714-NTNFO,0,0,0,0,49,1,1,2,0,0,0,0,0,1,0,1,2,84.5,3906.7,0
5948-UJZLF,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,3,49.25,97,0
7760-OYPDY,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,2,80.65,144.15,1
7639-LIAYI,1,0,0,0,52,1,1,1,1,0,0,1,1,1,2,1,1,79.75,4217.8,0
2954-PIBKO,0,0,1,1,69,1,1,1,1,0,1,1,0,0,2,1,1,64.15,4254.1,0
8012-SOUDQ,0,1,0,0,43,1,1,2,0,1,0,0,1,0,0,1,2,90.25,3838.75,0
9420-LOJKX,0,0,0,0,15,1,0,2,1,1,0,0,1,1,0,1,1,99.1,1426.4,1
6575-SUVOI,0,1,1,0,25,1,1,1,1,0,0,1,1,0,0,1,1,69.5,1752.65,0
7495-OOKFY,0,1,1,0,8,1,1,2,0,1,0,0,0,0,0,1,1,80.65,633.3,1
4667-QONEA,0,1,1,1,60,1,0,1,1,1,1,1,0,1,1,1,1,74.85,4456.35,0
1658-BYGOY,1,1,0,0,18,1,1,2,0,0,0,0,1,1,0,1,2,95.45,1752.55,1
8769-KKTPH,0,0,1,1,63,1,1,2,1,0,0,0,1,1,1,1,1,99.65,6311.2,0
5067-XJQFU,1,1,1,1,66,1,1,2,0,1,1,1,1,1,1,1,2,108.45,7076.35,0
3957-SQXML,0,0,1,1,34,1,1,0,2,2,2,2,2,2,2,0,1,24.95,894.3,0
5954-BDFSG,0,0,0,0,72,1,1,2,0,0,1,1,1,1,2,1,1,107.5,7853.7,0
0434-CSFON,0,0,1,0,47,1,1,2,0,0,1,0,1,1,0,1,2,100.5,4707.1,0
1215-FIGMP,1,0,0,0,60,1,1,2,0,1,0,0,1,0,0,1,0,89.9,5450.7,0
0526-SXDJP,1,0,1,0,72,0,0,1,1,1,1,0,0,0,2,0,0,42.1,2962,0
0557-ASKVU,0,0,1,1,18,1,0,1,0,0,1,1,0,0,1,1,1,54.4,957.1,0
5698-BQJOH,0,0,0,0,9,1,1,2,0,0,0,0,1,1,0,0,2,94.4,857.25,1
5122-CYFXA,0,0,0,0,3,1,0,1,0,1,0,1,1,1,0,1,2,75.3,244.1,0
8627-ZYGSZ,1,0,1,0,47,1,1,2,0,1,0,0,0,0,1,1,2,78.9,3650.35,0
3410-YOQBQ,0,0,0,0,31,1,0,1,0,1,1,1,1,1,2,0,3,79.2,2497.2,0
3170-NMYVV,0,0,1,1,50,1,0,0,2,2,2,2,2,2,2,0,0,20.15,930.9,0
7410-OIEDU,1,0,0,0,10,1,0,2,1,0,1,0,0,0,0,1,3,79.85,887.35,0
2273-QCKXA,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,3,49.05,49.05,0
0731-EBJQB,0,0,1,1,52,1,0,0,2,2,2,2,2,2,1,1,2,20.4,1090.65,0
1891-QRQSA,1,1,1,1,64,1,1,2,1,0,1,1,1,1,2,1,0,111.6,7099,0
8028-PNXHQ,1,0,1,1,62,1,1,0,2,2,2,2,2,2,2,1,0,24.25,1424.6,0
5630-AHZIL,0,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,0,64.5,177.4,0
2673-CXQEU,0,1,0,0,56,1,1,2,1,1,1,0,1,1,1,0,2,110.5,6139.5,0
6416-JNVRK,0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,1,55.65,2688.85,0
5590-ZSKRV,0,0,1,1,8,1,0,1,1,1,0,0,0,0,0,0,3,54.65,482.25,0
0191-ZHSKZ,1,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,2,74.75,2111.3,0
3887-PBQAO,0,0,1,1,45,1,1,0,2,2,2,2,2,2,1,1,1,25.9,1216.6,0
5919-TMRGD,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,2,79.35,79.35,1
8108-UXRQN,0,0,1,1,11,0,0,1,1,0,0,0,1,1,0,0,2,50.55,565.35,0
9191-MYQKX,0,0,1,0,7,1,0,2,0,0,1,0,0,0,0,1,0,75.15,496.9,1
9919-YLNNG,0,0,0,0,42,1,0,2,0,1,1,1,1,1,0,1,0,103.8,4327.5,0
0318-ZOPWS,0,0,1,0,49,1,0,0,2,2,2,2,2,2,2,1,0,20.15,973.35,0
4445-ZJNMU,1,0,0,0,9,1,1,2,0,1,0,0,1,1,0,1,1,99.3,918.75,0
4808-YNLEU,0,0,1,0,35,1,0,1,1,0,0,0,1,0,1,1,0,62.15,2215.45,0
1862-QRWPE,0,0,1,1,48,1,0,0,2,2,2,2,2,2,2,0,0,20.65,1057,0
2796-NNUFI,0,0,1,1,46,1,0,0,2,2,2,2,2,2,2,1,3,19.95,927.1,0
3016-KSVCP,1,0,1,0,29,0,0,1,0,0,0,0,1,0,0,0,3,33.75,1009.25,0
4767-HZZHQ,1,0,1,1,30,1,0,2,0,1,1,0,0,0,0,0,0,82.05,2570.2,0
2424-WVHPL,1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,2,74.7,74.7,0
7233-PAHHL,1,0,1,1,66,1,1,1,1,0,1,1,1,1,2,1,3,84,5714.25,0
6067-NGCEU,0,0,0,0,65,1,1,2,1,1,1,0,1,1,0,1,1,111.05,7107,0
9848-JQJTX,1,0,0,0,72,1,1,2,0,1,1,0,1,1,2,1,0,100.9,7459.05,0
8637-XJIVR,0,0,0,0,12,1,1,2,1,0,0,0,0,0,0,1,2,78.95,927.35,1
9803-FTJCG,1,0,1,1,71,1,1,1,1,1,0,1,0,0,1,1,1,66.85,4748.7,0
0278-YXOOG,1,0,0,0,5,1,0,0,2,2,2,2,2,2,0,0,3,21.05,113.85,1
3212-KXOCR,1,0,0,0,52,1,0,0,2,2,2,2,2,2,2,0,0,21,1107.2,0
4598-XLKNJ,0,1,1,0,25,1,0,2,0,1,1,0,1,1,0,1,2,98.5,2514.5,1
